-999 -999 -999    -1.81700 -999.00000    0.04032 -999.00000 -999.00000
-999 -999 -999     0.03300 -999.00000    0.04688 -999.00000 -999.00000
-999 -999 -999    -1.72500 -999.00000    0.05364 -999.00000 -999.00000
-999 -999 -999    -4.32100 -999.00000    0.02699 -999.00000 -999.00000
-999 -999 -999    -3.82500 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999     1.12500 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999     0.13300 -999.00000    0.02859 -999.00000 -999.00000
-999 -999 -999    -2.94600 -999.00000    0.02550 -999.00000 -999.00000
-999 -999 -999    -3.31700 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999    -1.10000 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999    -5.84200 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999    -4.81200 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999    -1.59200 -999.00000    0.00000 -999.00000 -999.00000
-999 -999 -999     1.32500 -999.00000    0.01481 -999.00000 -999.00000
-999 -999 -999     2.51700 -999.00000    0.06009 -999.00000 -999.00000
-999 -999 -999     2.39200 -999.00000    0.11226 -999.00000 -999.00000
-999 -999 -999     4.47100 -999.00000    0.17788 -999.00000 -999.00000
-999 -999 -999     4.10400 -999.00000    0.25486 -999.00000 -999.00000
-999 -999 -999     2.03300 -999.00000    0.31162 -999.00000 -999.00000
-999 -999 -999     4.89600 -999.00000    0.37297 -999.00000 -999.00000
-999 -999 -999     3.96700 -999.00000    0.44747 -999.00000 -999.00000
-999 -999 -999    -0.17100 -999.00000    0.48193 -999.00000 -999.00000
-999 -999 -999     2.66300 -999.00000    0.50560 -999.00000 -999.00000
-999 -999 -999     7.57100 -999.00000    0.58710 -999.00000 -999.00000
-999 -999 -999     3.81700 -999.00000    0.67547 -999.00000 -999.00000
-999 -999 -999     1.52500 -999.00000    0.71615 -999.00000 -999.00000
-999 -999 -999     1.09200 -999.00000    0.73520 -999.00000 -999.00000
-999 -999 -999     2.92500 -999.00000    0.76424 -999.00000 -999.00000
-999 -999 -999     8.61700 -999.00000    0.84940 -999.00000 -999.00000
-999 -999 -999     8.44200 -999.00000    0.97438 -999.00000 -999.00000
-999 -999 -999     1.14200 -999.00000    1.04017 -999.00000 -999.00000
-999 -999 -999     1.75400 -999.00000    1.05391 -999.00000 -999.00000
-999 -999 -999    -1.12900 -999.00000    1.05002 -999.00000 -999.00000
-999 -999 -999    -1.27900 -999.00000    1.02310 -999.00000 -999.00000
-999 -999 -999     0.41200 -999.00000    1.00820 -999.00000 -999.00000
-999 -999 -999     1.83300 -999.00000    1.01695 -999.00000 -999.00000
-999 -999 -999     1.96200 -999.00000    1.03710 -999.00000 -999.00000
-999 -999 -999     5.24200 -999.00000    1.08248 -999.00000 -999.00000
-999 -999 -999     8.78300 -999.00000    1.17839 -999.00000 -999.00000
-999 -999 -999     7.73700 -999.00000    1.29114 -999.00000 -999.00000
-999 -999 -999     4.48300 -999.00000    1.36903 -999.00000 -999.00000
-999 -999 -999     2.05800 -999.00000    1.40232 -999.00000 -999.00000
-999 -999 -999     3.95400 -999.00000    1.43085 -999.00000 -999.00000
-999 -999 -999     8.78700 -999.00000    1.50958 -999.00000 -999.00000
-999 -999 -999     6.37500 -999.00000    1.60497 -999.00000 -999.00000
-999 -999 -999     5.54200 -999.00000    1.67385 -999.00000 -999.00000
-999 -999 -999     4.97100 -999.00000    1.73068 -999.00000 -999.00000
-999 -999 -999     3.89600 -999.00000    1.77387 -999.00000 -999.00000
-999 -999 -999     6.24200 -999.00000    1.82574 -999.00000 -999.00000
-999 -999 -999     8.99600 -999.00000    1.91510 -999.00000 -999.00000
-999 -999 -999     6.57100 -999.00000    2.00513 -999.00000 -999.00000
-999 -999 -999     2.43800 -999.00000    2.04375 -999.00000 -999.00000
-999 -999 -999     3.70400 -999.00000    2.05990 -999.00000 -999.00000
-999 -999 -999     4.99600 -999.00000    2.09504 -999.00000 -999.00000
-999 -999 -999     7.38800 -999.00000    2.15733 -999.00000 -999.00000
-999 -999 -999    12.71700 -999.00000    2.27675 -999.00000 -999.00000
-999 -999 -999    12.61700 -999.00000    2.43335 -999.00000 -999.00000
-999 -999 -999    12.59200 -999.00000    2.58591 -999.00000 -999.00000
-999 -999 -999     9.46300 -999.00000    2.71162 -999.00000 -999.00000
-999 -999 -999     6.93700 -999.00000    2.79212 -999.00000 -999.00000
-999 -999 -999     3.65800 -999.00000    2.82716 -999.00000 -999.00000
-999 -999 -999     3.24200 -999.00000    2.83360 -999.00000 -999.00000
-999 -999 -999     6.32900 -999.00000    2.86016 -999.00000 -999.00000
-999 -999 -999    10.15400 -999.00000    2.93850 -999.00000 -999.00000
-999 -999 -999    12.07100 -999.00000    3.05877 -999.00000 -999.00000
-999 -999 -999     8.10000 -999.00000    3.16119 -999.00000 -999.00000
-999 -999 -999     9.89100 -999.00000    3.24519 -999.00000 -999.00000
-999 -999 -999     5.16300 -999.00000    3.30540 -999.00000 -999.00000
-999 -999 -999     6.74600 -999.00000    3.34073 -999.00000 -999.00000
-999 -999 -999     9.57900 -999.00000    3.40885 -999.00000 -999.00000
-999 -999 -999    13.33800 -999.00000    3.52557 -999.00000 -999.00000
-999 -999 -999    14.87500 -999.00000    3.68014 -999.00000 -999.00000
-999 -999 -999     8.30800 -999.00000    3.79374 -999.00000 -999.00000
-999 -999 -999     5.50400 -999.00000    3.83437 -999.00000 -999.00000
-999 -999 -999     5.91700 -999.00000    3.85625 -999.00000 -999.00000
-999 -999 -999     9.50400 -999.00000    3.90809 -999.00000 -999.00000
-999 -999 -999    12.28800 -999.00000    4.00722 -999.00000 -999.00000
-999 -999 -999    14.10000 -999.00000    4.13955 -999.00000 -999.00000
-999 -999 -999    12.09600 -999.00000    4.27253 -999.00000 -999.00000
-999 -999 -999    13.80000 -999.00000    4.40518 -999.00000 -999.00000
-999 -999 -999    11.36700 -999.00000    4.53370 -999.00000 -999.00000
-999 -999 -999    17.50800 -999.00000    4.69621 -999.00000 -999.00000
-999 -999 -999     9.79200 -999.00000    4.84789 -999.00000 -999.00000
-999 -999 -999     9.16700 -999.00000    4.92339 -999.00000 -999.00000
-999 -999 -999    12.21700 -999.00000    5.02216 -999.00000 -999.00000
-999 -999 -999    10.12500 -999.00000    5.13073 -999.00000 -999.00000
-999 -999 -999    15.25800 -999.00000    5.27082 -999.00000 -999.00000
-999 -999 -999    17.65400 -999.00000    5.49217 -999.00000 -999.00000
-999 -999 -999    15.61700 -999.00000    5.72466 -999.00000 -999.00000
-999 -999 -999    15.41700 -999.00000    5.93830 -999.00000 -999.00000
